canonical_id,canonical_name,venue_type,road_db,noise311_kde,noise311_within100m,effective_sites,construction_sites_150m,n_events_nearby,nearest_event_m
cv_0001,New York Public Library - Stephen A. Schwarzman Building,library,60.7,268.1,276.5,5.8,14,0,529.0
cv_0002,Jefferson Market Library,library,62.8,1196.2,1362.0,7.3,17,0,852.0
cv_0003,Black Cat LES,cafe,63.2,817.2,851.0,3.8,8,0,2686.0
cv_0004,Housing Works Bookstore,other,61.1,597.9,632.0,9.2,20,0,1931.0
cv_0009,"The New York Public Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",library,63.0,134.9,159.5,2.5,5,0,1829.0
cv_0005,Variety Coffee Roasters,cafe,63.5,433.0,543.0,5.3,14,0,1062.0
cv_0006,The Bean,cafe,67.4,765.6,861.0,5.7,11,0,2139.0
cv_0007,Stumptown Coffee Roasters,cafe,56.0,682.4,568.0,7.9,22,0,1269.0
cv_0008,Stavros Niarchos Foundation Library (SNFL),library,65.1,374.6,370.5,11.1,25,0,667.0
cv_0010,Café-Flor / Bar 21,cafe,62.2,731.0,831.5,5.4,11,0,674.0
cv_0011,Think Coffee,cafe,61.6,424.5,482.0,8.8,19,0,1612.0
cv_0012,Book Club Bar,cafe,57.7,580.7,661.5,1.8,5,0,2714.0
cv_0013,Kona Coffee Roasters | East Village,cafe,68.1,799.5,810.0,5.3,10,0,2102.0
cv_0014,Paper Coffee,cafe,58.7,485.3,487.0,7.7,16,0,1240.0
cv_0015,Conwell Coffee & Cocktail Hall,cafe,60.8,706.4,636.0,7.0,13,1,124.0
cv_0016,Poets House,library,59.0,170.5,232.0,1.4,4,0,1370.0
cv_0017,Amano Cafe,cafe,57.8,1102.0,1147.0,8.0,17,0,983.0
cv_0026,Butler Bakeshop & Espresso Bar,cafe,69.3,342.6,272.5,7.6,17,0,1965.0
cv_0018,Think Coffee,cafe,63.7,637.4,619.5,11.6,19,0,1380.0
cv_0019,Ace Hotel New York,hotel,55.8,633.4,446.5,8.1,23,0,1275.0
cv_0020,Ground Support Cafe,cafe,59.0,433.2,487.5,9.8,18,0,1837.0
