canonical_id,canonical_name,venue_type,effective_sites,n_within_100,n_within_150,n_within_200
cv_0001,New York Public Library - Stephen A. Schwarzman Building,library,5.8,9,14,29
cv_0002,Jefferson Market Library,library,7.3,8,17,37
cv_0003,Black Cat LES,cafe,3.8,5,8,13
cv_0004,Housing Works Bookstore,other,9.2,13,20,33
cv_0009,"The New York Public Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",library,2.5,3,5,11
cv_0005,Variety Coffee Roasters,cafe,5.3,5,14,28
cv_0006,The Bean,cafe,5.7,5,11,13
cv_0007,Stumptown Coffee Roasters,cafe,7.9,9,22,35
cv_0008,Stavros Niarchos Foundation Library (SNFL),library,11.1,12,25,36
cv_0010,Café-Flor / Bar 21,cafe,5.4,5,11,24
cv_0011,Think Coffee,cafe,8.8,11,19,30
cv_0012,Book Club Bar,cafe,1.8,2,5,12
cv_0013,Kona Coffee Roasters | East Village,cafe,5.3,5,10,18
cv_0014,Paper Coffee,cafe,7.7,10,16,31
cv_0015,Conwell Coffee & Cocktail Hall,cafe,7.0,9,13,24
cv_0016,Poets House,library,1.4,2,4,7
cv_0017,Amano Cafe,cafe,8.0,9,17,28
cv_0026,Butler Bakeshop & Espresso Bar,cafe,7.6,7,17,31
cv_0018,Think Coffee,cafe,11.6,13,19,42
cv_0019,Ace Hotel New York,hotel,8.1,9,23,35
cv_0020,Ground Support Cafe,cafe,9.8,11,18,33
cv_0021,The Bean,cafe,5.0,4,12,28
cv_0022,Mulberry Street Library,library,6.6,8,12,25
cv_0023,Coffee Project New York | Chelsea,cafe,7.9,7,21,32
cv_0024,Stumptown Coffee Roasters,cafe,5.1,6,9,27
cv_0025,Gotan,cafe,6.9,8,19,29
cv_0035,Webster Library,library,2.9,2,7,21
cv_0027,Coffee Project New York | East Village,cafe,3.3,3,8,22
cv_0028,Ludlow Coffee Supply,cafe,3.0,4,8,9
cv_0029,Now or Never Coffee,cafe,5.6,5,12,18
cv_0030,Irving Farm Coffee,cafe,5.1,4,12,22
cv_0031,The Hungarian Pastry Shop,cafe,3.9,5,8,14
cv_0032,Caffe Reggio,cafe,6.7,7,12,22
cv_0033,Culture Espresso,cafe,8.1,7,16,41
cv_0034,Schomburg Center for Research in Black Culture - New York Public Library,library,2.0,2,4,4
cv_0320,Bluestone Lane Bryant Park Coffee Shop,cafe,5.6,7,11,25
cv_0036,Devoción,cafe,14.6,16,26,44
cv_0037,Seven Grams Caffe,cafe,6.1,4,13,29
cv_0038,The Lost Draft,cafe,7.8,9,17,32
cv_0039,The Chipped Cup,cafe,3.1,2,9,12
cv_0040,Felix Roasting Co.,cafe,6.7,4,17,28
cv_0041,Devoción,cafe,10.4,12,24,32
cv_0042,Gregorys Coffee,cafe,5.8,4,16,29
cv_0043,Think Coffee,cafe,8.5,11,22,31
cv_0044,Bibliotheque,cafe,11.4,13,23,43
cv_0045,Ground Central Coffee Company,cafe,6.7,7,16,36
cv_0046,Ariston Flowers,other,9.4,11,23,32
cv_0047,Joe Coffee Company: Waverly,cafe,9.0,9,20,38
cv_0048,citizenM New York Bowery,hotel,7.3,8,14,22
cv_0049,Irving Farm Coffee,cafe,5.0,4,13,20
cv_0050,Dear Mama,cafe,0.6,0,2,5
cv_0051,PUBLIC Hotel,hotel,3.2,4,7,11
cv_0052,787 Coffee,cafe,8.7,11,20,35
cv_0053,787 Coffee,cafe,6.3,6,12,17
cv_0054,Capital One Café,cafe,4.9,6,9,23
cv_0055,Ground Central Coffee Company,cafe,6.5,6,11,21
cv_0056,Pause Cafe,cafe,4.8,6,9,16
cv_0057,Remi43 Flower & Coffee,cafe,3.6,4,5,13
cv_0062,Buunni Coffee - Pinehurst,cafe,1.0,1,2,5
cv_0058,The Marlton Hotel,hotel,5.5,7,12,27
cv_0059,Capital One Café,cafe,6.8,8,15,26
cv_0060,The Clock Coffee Shop,cafe,4.7,5,11,19
cv_0061,The Townhouse Cafe,cafe,3.1,4,7,13
cv_0063,Ground Central Coffee Company,cafe,4.8,7,10,14
cv_0064,Felix Roasting Co.,cafe,5.7,6,16,31
cv_0065,Everyman Espresso,cafe,4.1,4,8,15
cv_0066,Kaffe Åre,cafe,3.3,3,8,15
cv_0067,Bluestone Lane Midtown East Coffee Shop,cafe,6.7,6,15,27
